Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,408,Dem. People's Rep. of Korea,PRK,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1252142,,1252142.63,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,540,New Caledonia,NCL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1590,,1590.05,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,784,United Arab Emirates,ARE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,73631627,,73631627.69,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,862,Venezuela,VEN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1537484,,1537484.54,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,340,Honduras,HND,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,896770,,896770.44,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,591,Panama,PAN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1606510,,1606510.83,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,192,Cuba,CUB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,45127,,45127.75,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,512,Oman,OMN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,3805211,,3805211.66,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,218,Ecuador,ECU,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,9157468,,9157468.8,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,818,Egypt,EGY,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,862968,,862968.46,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,703,Slovakia,SVK,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,2638010,,2638010.4,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,150303216,,150303216.83,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,804,Ukraine,UKR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,24611711,,24611711.8,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,554,New Zealand,NZL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1002145,,1002145.47,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,586,Pakistan,PAK,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,59324407,,59324407.82,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,499,Montenegro,MNE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,18461,,18461.32,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,70,Bosnia Herzegovina,BIH,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,26831,,26831,0
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,300,Greece,GRC,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,2243497,,2243497.64,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,203,Czechia,CZE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,5712101,,5712101.24,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,430,Liberia,LBR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,85645,,85645,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,729,Sudan,SDN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,37082,,37082.3,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,398,Kazakhstan,KAZ,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,153784,,153784.49,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,410,Rep. of Korea,KOR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,334815930,,334815930.96,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,616,Poland,POL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,30473802,,30473802.73,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,694,Sierra Leone,SLE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,89670,,89670.87,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,170,Colombia,COL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1853477,,1853477.97,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,764,Thailand,THA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,2241496686,,2241496686.44,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,40980264,,40980264.01,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,320,Guatemala,GTM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,70000,,70000,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,579,Norway,NOR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,3513831,,3513831.89,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,600,Paraguay,PRY,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,41192,,41192.85,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,716,Zimbabwe,ZWE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,66733,,66733.73,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,324,Guinea,GIN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,6254046,,6254046.19,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,364,Iran,IRN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1920324,,1920324.38,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,748,Eswatini,SWZ,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,616197,,616197.06,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,212,Dominica,DMA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,663642,,663642.54,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,531,Curaçao,CUW,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1532629,,1532629.5,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,270,Gambia,GMB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1232317,,1232317.6,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,792,Turkey,TUR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,3593606,,3593606.49,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,882,Samoa,WSM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,11448814,,11448814.87,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,124,Canada,CAN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,32475093,,32475093.59,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,292,Gibraltar,GIB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,34,,34,0
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,328,Guyana,GUY,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,43200,,43200,0
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,180,Dem. Rep. of the Congo,COD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,14540,,14540,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,120,Cameroon,CMR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1481390,,1481390.44,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,348,Hungary,HUN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,659916,,659916.17,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,308,Grenada,GRD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,32130,,32130,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,50,Bangladesh,BGD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,21476495,,21476495.64,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,188,Costa Rica,CRI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,173152,,173152.64,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,112,Belarus,BLR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,15840,,15840,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,422,Lebanon,LBN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,68202,,68202.48,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,533,Aruba,ABW,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,149440,,149440,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,699,India,IND,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1038113879,,1038113879.51,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,72,Botswana,BWA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,106000,,106000,0
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,8,Albania,ALB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,755,,755,0
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,84,Belize,BLZ,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,34560,,34560,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,404,Kenya,KEN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,348878,,348878.56,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,643,Russian Federation,RUS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,5979307,,5979307.38,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,682,Saudi Arabia,SAU,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,19924828,,19924828.15,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,524,Nepal,NPL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,869263,,869263.19,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,688,Serbia,SRB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,307337,,307337.75,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,108,Burundi,BDI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,107800,,107800,0
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,258,French Polynesia,PYF,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,77460,,77460.5,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,548,Vanuatu,VUT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,33960,,33960,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,48,Bahrain,BHR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,960382,,960382.05,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,214,Dominican Rep.,DOM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,121016,,121016.49,0
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,262,Djibouti,DJI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,3600,,3600,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,620,Portugal,PRT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,642765,,642765.8,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,788,Tunisia,TUN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,7204,,7204.08,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,172359994,,172359994.31,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,642,Romania,ROU,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,241236,,241236.06,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,858,Uruguay,URY,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,138346,,138346.39,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,242,Fiji,FJI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,34375,,34375,0
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,4801462,,4801462.88,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,659,Saint Kitts and Nevis,KNA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,46610,,46610.16,0
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,704,Viet Nam,VNM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,75477441,,75477441.53,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,768,Togo,TGO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,140000,,140000,0
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,90,Solomon Isds,SLB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,288704,,288704.98,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,246,Finland,FIN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,914545,,914545.5,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,562,Niger,NER,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,14404,,14404,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,757,Switzerland,CHE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,8503520,,8503520.35,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,598,Papua New Guinea,PNG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,397808,,397808,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,4,Afghanistan,AFG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1957046,,1957046.67,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,196,Cyprus,CYP,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,71963,,71963.98,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,144,Sri Lanka,LKA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,6376442,,6376442.97,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,414,Kuwait,KWT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,9538249,,9538249.86,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,233,Estonia,EST,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,382631,,382631.09,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,400,Jordan,JOR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,45916,,45916.97,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,504,Morocco,MAR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,173902,,173902.21,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,604,Peru,PER,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1647361,,1647361.27,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,60,Bermuda,BMU,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,215523,,215523.44,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,392,Japan,JPN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,663433716,,663433716.35,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,4976515,,4976515.22,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,380,Italy,ITA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,43865397,,43865397.49,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,442,Luxembourg,LUX,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1569,,1569.31,0
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,96,Brunei Darussalam,BRN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,617768,,617768.51,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,20,Andorra,AND,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,789198,,789198.33,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,470,Malta,MLT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,14742,,14742.12,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,894,Zambia,ZMB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,15633,,15633,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,800,Uganda,UGA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,51470,,51470.92,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,710,South Africa,ZAF,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1989996,,1989996.51,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,724,Spain,ESP,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,58745153,,58745153.73,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,516,Namibia,NAM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1137,,1137.5,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,462,Maldives,MDV,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,4270,,4270.25,0
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,458,Malaysia,MYS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,144359278,,144359278.72,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,608,Philippines,PHL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,39257498,,39257498.32,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,19485419,,19485419.13,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,360,Indonesia,IDN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,116815195,,116815195.53,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,520,Nauru,NRU,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,54900,,54900,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,68986229,,68986229.14,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,740,Suriname,SUR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,951118,,951118.57,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,702,Singapore,SGP,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,890759560,,890759560.95,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,690,Seychelles,SYC,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,109111,,109111.91,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,760,Syria,SYR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,179300,,179300,0
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,480,Mauritius,MUS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,20487,,20487.5,0
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,384,Côte d'Ivoire,CIV,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,11193359,,11193359.5,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,156,China,CHN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,4766680647,,4766680647.67,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,148,Chad,TCD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,27440,,27440,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,368,Iraq,IRQ,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,2137190,,2137190.88,0
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,418,Lao People's Dem. Rep.,LAO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,41479,,41479.7,4
H4,2016,2016,2016,5,0,0,X,104,Myanmar,MMR,454,Malawi,MWI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,80865,,80865,4
